Codigo Estación	Tipo Estación	Nombre Estación	Nombre de la Corriente Hídrica	Areade la Cuenca (Km2)	Perímetro (Km)	Pendiente Media de la Cuenca (%)	Elevacion Media de la Cuenca (msnm)	Desnivel Cuenca (m)	Compacidad	Densidad de Drenaje (Longitud de Drenajes/km2)	Densidad de Corrientes (Num de Drenajes/km2)	Deficit de agua en el suelo basada en Penman Anual	Pendiente media del cauce (m/m)	Longitud del cauce (m)	Desnivel del cauce (m)	Bosque Km2
23177010	LM	BAGRE EL	CIMITARRA	2961,02	466,118	19,672729	417,473984	1672	2,398464171	0,715744297	0,228637429	431,772358	0,004756174	172828	822	1856,541
23187280	LM	SITIO NUEVO R-11	MAGDALENA	118111	2877,54	30,646284	1530,513382	5388	2,344413575	1,265516503	0,585385781	340,450708	0,002852862	1201250	3427	20590,9
23197130	LG	PTE SARDINAS	SANTA CRUZ	126,117	57,0132	46,877635	1910,129359	2348	1,421499244	1,576742588	0,856347677	586,551006	0,072804275	24792,5	1805	55,37104
23197270	LM	PTE PANEGA	VETAS	246,624	70,1332	48,796047	2982,195208	2656	1,25044334	1,040433417	0,421694563	611,569885	0,089852128	22147,5	1990	6,689792
23197290	LG	CAFE MADRID	LEBRIJA	1264	199,13	41,126399	1938,054495	3643	1,568271276	1,347803331	0,597310127	610,194047	0,048737502	60938,7	2970	115,5062
23197370	LM	SAN RAFAEL	LEBRIJA	4329,29	382,711	39,716089	1418,471672	4187	1,628623276	1,49500114	0,719633011	496,306046	0,020914182	167494	3503	602,6061
23197410	LM	HOYO EL	SAN ALBERTO	652,564	163,689	35,120107	810,195041	3501	1,794179835	1,703182212	0,810648457	402,550201	0,027725996	63514,4	1761	149,3547
24017570	LG	SAN BENITO	SUAREZ	5340,3	466,37	24,979789	2489,839083	2878	1,786922881	1,239891904	0,526187667	217,373632	0,012161883	154828	1883	508,6518
24017580	LM	JUSTO PASTOR GOMEZ	OIBITA	318,599	124,806	27,51542	1900,064831	2086	1,957813377	1,011745941	0,379787758	322,545151	0,027640671	47104,5	1302	84,33244
24017590	LG	PTE NACIONAL	SUAREZ	2256,58	339,748	21,501798	2684,771936	2202	2,002578609	1,254626323	0,549060968	165,66143	0,011853997	111861	1326	38,58825
24017600	LG	MONIQUIRA	MONIQUIRA	1158,22	168,404	23,885259	2561,60113	2160	1,385526715	1,459282009	0,670857005	153,950671	0,017043438	76921,1	1311	47,23
24017640	LM	CEIBA LA	SUAREZ	7008,08	567,141	26,373267	2299,045976	3193	1,896922337	1,247838876	0,532171436	246,7779	0,010566117	208402	2202	686,5469
24027010	LG	SAN GIL	FONCE	2086,98	265,063	39,429857	2251,923524	3185	1,62460579	1,247907126	0,565649886	374,553359	0,027637264	91904,9	2540	510,4048
24027030	LG	NEMIZAQUE	PIENTA	627,436	139,728	42,071397	2676,170479	2988	1,561912705	0,987280551	0,37613398	447,836757	0,048113922	48468,3	2332	182,5648
24027040	LG	PTE CABRA	MOGOTICOS	182,88	72,2941	29,580947	1843,736732	1312	1,496848272	1,646894559	1,063538933	361,744314	0,01338756	15760,9	211	21,59442
24027050	LG	PTE LLANO	TAQUIZA	605,938	122,663	47,69738	2536,218959	3026	1,39526763	1,225591065	0,599896359	369,970418	0,055492876	42455,9	2356	228,2184
24027060	LG	PTE ARCO	MONCHIA	164,958	77,4847	47,307456	1934,955592	2195	1,689224206	1,254384789	0,5365002	313,20516	0,040596422	27785,7	1128	55,12738
24037010	LM	PRIMAVERA	MANCO	99,9432	55,6704	51,98911	2446,683675	2757	1,55921408	1,555866652	0,840477391	558,933763	0,076119427	24369,6	1855	32,41137
